Ingredient,Pairings,Bad Pairings,Cuisine,Season,Health Insight,Carbs (g),Proteins (g),Vitamins
Asparagus,"['Honey', 'Garlic', 'Olive Oil']","['Banana', 'Vinegar']",Mediterranean,Spring,High in Protein,15,12,"['K', 'E']"
Chicken,"['Garlic', 'Rosemary', 'Ginger']","['Coffee', 'Peanut Butter']",Chinese,Winter,Boosts Immunity,5,15,"['B', 'D']"
Salmon,"['Ginger', 'Garlic', 'Thyme']","['Ketchup', 'Peanut Butter']",American,Spring,High in Protein,10,18,"['C', 'D']"
Asparagus,"['Soy Sauce', 'Thyme', 'Basil']","['Chocolate', 'Ketchup']",American,Spring,Supports Digestion,20,15,"['C', 'B']"
Pumpkin,"['Rosemary', 'Ginger', 'Garlic']","['Peanut Butter', 'Ketchup']",Thai,Fall,Rich in Antioxidants,30,15,"['A', 'K']"
Salmon,"['Honey', 'Thyme', 'Lemon']","['Ketchup', 'Chocolate']",Indian,Summer,Rich in Antioxidants,10,5,"['D', 'C']"
Asparagus,"['Lemon', 'Soy Sauce', 'Basil']","['Chocolate', 'Milk']",Mexican,Fall,Rich in Antioxidants,10,18,"['K', 'D']"
Pumpkin,"['Garlic', 'Basil', 'Thyme']","['Cucumber', 'Banana']",French,Summer,Supports Digestion,5,18,"['B', 'C']"
Apple,"['Ginger', 'Lemon', 'Thyme']","['Cucumber', 'Banana']",Mediterranean,Spring,Rich in Antioxidants,20,15,"['D', 'A']"
Chicken,"['Thyme', 'Soy Sauce', 'Parmesan']","['Banana', 'Tea']",Mexican,Spring,Supports Digestion,10,15,"['C', 'K']"
Mushroom,"['Parmesan', 'Soy Sauce', 'Lemon']","['Coffee', 'Vinegar']",Japanese,Fall,High in Protein,15,2,"['K', 'A']"
Brussels Sprouts,"['Honey', 'Parmesan', 'Basil']","['Tea', 'Cucumber']",American,Fall,Rich in Antioxidants,25,15,"['B', 'A']"
Apple,"['Garlic', 'Basil', 'Thyme']","['Cucumber', 'Vinegar']",Thai,Summer,Good for Heart Health,30,5,"['B', 'E']"
Tomato,"['Ginger', 'Basil', 'Honey']","['Tea', 'Chocolate']",French,Fall,Rich in Antioxidants,15,15,"['E', 'K']"
Salmon,"['Thyme', 'Garlic', 'Parmesan']","['Peanut Butter', 'Coffee']",Indian,Summer,Good for Heart Health,15,5,"['E', 'K']"
Carrot,"['Garlic', 'Honey', 'Basil']","['Chocolate', 'Tea']",Mediterranean,Summer,Rich in Antioxidants,10,2,"['D', 'K']"
Salmon,"['Rosemary', 'Thyme', 'Basil']","['Milk', 'Tea']",Japanese,Fall,Boosts Immunity,15,12,"['E', 'D']"
Asparagus,"['Soy Sauce', 'Honey', 'Rosemary']","['Vinegar', 'Orange']",Japanese,Fall,Supports Digestion,5,5,"['C', 'D']"
Asparagus,"['Olive Oil', 'Thyme', 'Honey']","['Ketchup', 'Cucumber']",Chinese,Spring,Supports Digestion,25,12,"['B', 'K']"
Mushroom,"['Olive Oil', 'Ginger', 'Parmesan']","['Cucumber', 'Peanut Butter']",Italian,Spring,Good for Heart Health,10,2,"['A', 'B']"
Salmon,"['Lemon', 'Parmesan', 'Honey']","['Cucumber', 'Chocolate']",Italian,Spring,Rich in Antioxidants,5,15,"['E', 'D']"
Salmon,"['Garlic', 'Olive Oil', 'Lemon']","['Milk', 'Tea']",Japanese,Summer,Boosts Immunity,25,12,"['E', 'K']"
Chicken,"['Honey', 'Ginger', 'Garlic']","['Chocolate', 'Milk']",Indian,Winter,High in Protein,20,5,"['D', 'K']"
Chicken,"['Olive Oil', 'Ginger', 'Thyme']","['Coffee', 'Milk']",American,Spring,Good for Heart Health,30,18,"['D', 'B']"
Chicken,"['Ginger', 'Lemon', 'Thyme']","['Coffee', 'Milk']",Korean,Fall,High in Protein,5,12,"['K', 'E']"
Beef,"['Lemon', 'Garlic', 'Parmesan']","['Ketchup', 'Coffee']",Indian,Fall,Supports Digestion,25,12,"['C', 'E']"
Tomato,"['Soy Sauce', 'Rosemary', 'Ginger']","['Tea', 'Coffee']",Japanese,Summer,High in Protein,20,12,"['K', 'A']"
Carrot,"['Honey', 'Parmesan', 'Olive Oil']","['Milk', 'Cucumber']",Mexican,Spring,Boosts Immunity,25,15,"['C', 'B']"
Tomato,"['Ginger', 'Parmesan', 'Rosemary']","['Cucumber', 'Coffee']",Korean,Summer,Rich in Antioxidants,20,18,"['D', 'A']"
Beef,"['Ginger', 'Basil', 'Soy Sauce']","['Banana', 'Vinegar']",Thai,Fall,Good for Heart Health,20,15,"['D', 'E']"
Mushroom,"['Parmesan', 'Basil', 'Rosemary']","['Cucumber', 'Tea']",Thai,Spring,High in Protein,15,8,"['C', 'A']"
Apple,"['Garlic', 'Rosemary', 'Olive Oil']","['Milk', 'Banana']",Mediterranean,Spring,Good for Heart Health,5,12,"['K', 'D']"
Carrot,"['Garlic', 'Honey', 'Olive Oil']","['Tea', 'Orange']",Thai,Winter,Boosts Immunity,15,12,"['B', 'D']"
Salmon,"['Ginger', 'Soy Sauce', 'Olive Oil']","['Milk', 'Peanut Butter']",Japanese,Winter,Boosts Immunity,25,2,"['E', 'B']"
Pumpkin,"['Olive Oil', 'Honey', 'Parmesan']","['Orange', 'Cucumber']",Korean,Fall,Boosts Immunity,5,8,"['K', 'A']"
Salmon,"['Honey', 'Garlic', 'Olive Oil']","['Vinegar', 'Tea']",Mexican,Summer,Rich in Antioxidants,5,5,"['C', 'B']"
Carrot,"['Basil', 'Ginger', 'Lemon']","['Milk', 'Coffee']",Indian,Spring,Supports Digestion,15,2,"['K', 'A']"
Beef,"['Olive Oil', 'Soy Sauce', 'Garlic']","['Ketchup', 'Vinegar']",Korean,Spring,Boosts Immunity,15,18,"['K', 'A']"
Beef,"['Honey', 'Lemon', 'Olive Oil']","['Cucumber', 'Milk']",Italian,Summer,Rich in Antioxidants,20,18,"['C', 'B']"
Chicken,"['Parmesan', 'Lemon', 'Olive Oil']","['Ketchup', 'Tea']",Mexican,Spring,Boosts Immunity,15,8,"['E', 'B']"
Carrot,"['Olive Oil', 'Thyme', 'Ginger']","['Cucumber', 'Peanut Butter']",Thai,Winter,Good for Heart Health,15,12,"['B', 'E']"
Tomato,"['Garlic', 'Ginger', 'Parmesan']","['Cucumber', 'Coffee']",Indian,Summer,Boosts Immunity,20,12,"['C', 'D']"
Tomato,"['Thyme', 'Lemon', 'Soy Sauce']","['Coffee', 'Milk']",Mexican,Summer,Boosts Immunity,25,18,"['K', 'A']"
Pumpkin,"['Basil', 'Ginger', 'Honey']","['Peanut Butter', 'Orange']",Italian,Fall,Boosts Immunity,25,12,"['A', 'K']"
Carrot,"['Ginger', 'Honey', 'Soy Sauce']","['Chocolate', 'Coffee']",Chinese,Summer,Good for Heart Health,15,2,"['C', 'A']"
Mushroom,"['Ginger', 'Honey', 'Olive Oil']","['Cucumber', 'Tea']",Mediterranean,Winter,Supports Digestion,15,5,"['C', 'E']"
Apple,"['Basil', 'Garlic', 'Olive Oil']","['Vinegar', 'Coffee']",French,Winter,High in Protein,10,5,"['K', 'D']"
Mushroom,"['Lemon', 'Ginger', 'Rosemary']","['Orange', 'Peanut Butter']",Japanese,Spring,High in Protein,30,18,"['E', 'C']"
Mushroom,"['Ginger', 'Thyme', 'Basil']","['Coffee', 'Orange']",Mediterranean,Summer,Good for Heart Health,15,18,"['A', 'C']"
Beef,"['Ginger', 'Thyme', 'Olive Oil']","['Orange', 'Ketchup']",Korean,Spring,Rich in Antioxidants,20,12,"['E', 'D']"
Salmon,"['Garlic', 'Honey', 'Thyme']","['Vinegar', 'Cucumber']",Korean,Spring,Good for Heart Health,30,18,"['B', 'A']"
Salmon,"['Soy Sauce', 'Parmesan', 'Garlic']","['Ketchup', 'Coffee']",Italian,Winter,High in Protein,20,15,"['C', 'K']"
Tomato,"['Soy Sauce', 'Parmesan', 'Garlic']","['Milk', 'Orange']",French,Summer,High in Protein,25,2,"['K', 'E']"
Chicken,"['Olive Oil', 'Ginger', 'Garlic']","['Cucumber', 'Vinegar']",American,Winter,Boosts Immunity,25,15,"['E', 'C']"
Tomato,"['Parmesan', 'Thyme', 'Basil']","['Milk', 'Tea']",Japanese,Spring,Rich in Antioxidants,20,12,"['A', 'D']"
Chicken,"['Lemon', 'Olive Oil', 'Ginger']","['Peanut Butter', 'Cucumber']",Thai,Winter,Boosts Immunity,25,15,"['B', 'D']"
Apple,"['Thyme', 'Soy Sauce', 'Olive Oil']","['Banana', 'Milk']",Mexican,Winter,High in Protein,10,15,"['K', 'B']"
Asparagus,"['Ginger', 'Thyme', 'Garlic']","['Banana', 'Vinegar']",Mexican,Fall,Supports Digestion,15,8,"['D', 'E']"
Tomato,"['Thyme', 'Lemon', 'Basil']","['Ketchup', 'Chocolate']",Italian,Summer,Rich in Antioxidants,15,18,"['K', 'D']"
Asparagus,"['Lemon', 'Olive Oil', 'Ginger']","['Tea', 'Ketchup']",American,Spring,Supports Digestion,20,2,"['D', 'K']"
Asparagus,"['Parmesan', 'Lemon', 'Rosemary']","['Banana', 'Coffee']",Japanese,Fall,Rich in Antioxidants,10,15,"['A', 'K']"
Tomato,"['Parmesan', 'Olive Oil', 'Thyme']","['Orange', 'Ketchup']",Italian,Winter,Rich in Antioxidants,5,12,"['E', 'C']"
Mushroom,"['Thyme', 'Honey', 'Ginger']","['Vinegar', 'Cucumber']",Chinese,Summer,Good for Heart Health,10,15,"['D', 'C']"
Beef,"['Garlic', 'Basil', 'Thyme']","['Cucumber', 'Banana']",Chinese,Winter,Boosts Immunity,15,12,"['A', 'E']"
Chicken,"['Garlic', 'Honey', 'Soy Sauce']","['Vinegar', 'Peanut Butter']",Chinese,Fall,Good for Heart Health,5,12,"['E', 'B']"
Salmon,"['Olive Oil', 'Honey', 'Lemon']","['Milk', 'Chocolate']",Mediterranean,Summer,Rich in Antioxidants,10,8,"['D', 'K']"
Salmon,"['Parmesan', 'Basil', 'Soy Sauce']","['Vinegar', 'Coffee']",Chinese,Summer,Boosts Immunity,10,12,"['D', 'A']"
Brussels Sprouts,"['Thyme', 'Olive Oil', 'Soy Sauce']","['Tea', 'Banana']",French,Summer,Supports Digestion,10,5,"['B', 'E']"
Apple,"['Olive Oil', 'Thyme', 'Ginger']","['Milk', 'Cucumber']",French,Winter,Good for Heart Health,5,2,"['A', 'C']"
Carrot,"['Basil', 'Soy Sauce', 'Honey']","['Coffee', 'Cucumber']",Japanese,Winter,High in Protein,5,2,"['E', 'K']"
Asparagus,"['Garlic', 'Lemon', 'Rosemary']","['Peanut Butter', 'Cucumber']",Indian,Winter,Supports Digestion,15,15,"['D', 'A']"
Brussels Sprouts,"['Honey', 'Ginger', 'Garlic']","['Vinegar', 'Orange']",Mexican,Fall,High in Protein,25,8,"['C', 'B']"
Brussels Sprouts,"['Soy Sauce', 'Parmesan', 'Honey']","['Peanut Butter', 'Milk']",American,Spring,High in Protein,25,8,"['B', 'D']"
Brussels Sprouts,"['Ginger', 'Thyme', 'Lemon']","['Banana', 'Milk']",Thai,Summer,Boosts Immunity,15,2,"['E', 'B']"
Chicken,"['Thyme', 'Olive Oil', 'Lemon']","['Peanut Butter', 'Orange']",Chinese,Summer,Good for Heart Health,20,12,"['K', 'A']"
Apple,"['Rosemary', 'Soy Sauce', 'Parmesan']","['Cucumber', 'Orange']",French,Winter,High in Protein,25,15,"['E', 'C']"
Carrot,"['Lemon', 'Olive Oil', 'Basil']","['Banana', 'Vinegar']",Chinese,Summer,Good for Heart Health,5,2,"['B', 'E']"
Pumpkin,"['Lemon', 'Basil', 'Ginger']","['Peanut Butter', 'Orange']",Chinese,Spring,High in Protein,15,12,"['C', 'B']"
Tomato,"['Ginger', 'Parmesan', 'Lemon']","['Orange', 'Ketchup']",Japanese,Fall,Good for Heart Health,10,5,"['C', 'A']"
Carrot,"['Parmesan', 'Rosemary', 'Thyme']","['Banana', 'Cucumber']",Italian,Spring,Boosts Immunity,25,15,"['D', 'K']"
Chicken,"['Parmesan', 'Olive Oil', 'Rosemary']","['Vinegar', 'Orange']",Chinese,Summer,Boosts Immunity,5,12,"['C', 'B']"
Brussels Sprouts,"['Ginger', 'Lemon', 'Basil']","['Peanut Butter', 'Milk']",French,Summer,Good for Heart Health,10,12,"['C', 'K']"
Asparagus,"['Garlic', 'Honey', 'Thyme']","['Tea', 'Orange']",Mexican,Winter,High in Protein,10,8,"['C', 'K']"
Mushroom,"['Parmesan', 'Olive Oil', 'Lemon']","['Milk', 'Coffee']",Chinese,Fall,Supports Digestion,25,18,"['E', 'B']"
Pumpkin,"['Basil', 'Honey', 'Lemon']","['Peanut Butter', 'Ketchup']",Chinese,Fall,Supports Digestion,15,8,"['B', 'E']"
Pumpkin,"['Parmesan', 'Ginger', 'Honey']","['Peanut Butter', 'Coffee']",Chinese,Spring,Supports Digestion,30,12,"['C', 'B']"
Beef,"['Lemon', 'Soy Sauce', 'Honey']","['Peanut Butter', 'Milk']",Thai,Spring,Boosts Immunity,20,18,"['A', 'D']"
Pumpkin,"['Rosemary', 'Ginger', 'Lemon']","['Chocolate', 'Orange']",Mediterranean,Winter,Rich in Antioxidants,25,18,"['C', 'D']"
Beef,"['Soy Sauce', 'Rosemary', 'Garlic']","['Ketchup', 'Banana']",American,Spring,Good for Heart Health,10,2,"['E', 'C']"
Apple,"['Thyme', 'Basil', 'Garlic']","['Orange', 'Peanut Butter']",Chinese,Summer,Rich in Antioxidants,10,8,"['A', 'B']"
Tomato,"['Thyme', 'Parmesan', 'Rosemary']","['Orange', 'Tea']",Chinese,Fall,High in Protein,20,5,"['E', 'C']"
Apple,"['Olive Oil', 'Garlic', 'Honey']","['Coffee', 'Ketchup']",Italian,Winter,Rich in Antioxidants,15,18,"['K', 'B']"
Beef,"['Thyme', 'Garlic', 'Ginger']","['Coffee', 'Milk']",Korean,Fall,Good for Heart Health,30,5,"['E', 'A']"
Mushroom,"['Basil', 'Thyme', 'Parmesan']","['Vinegar', 'Coffee']",Indian,Summer,Rich in Antioxidants,15,8,"['C', 'B']"
Beef,"['Parmesan', 'Soy Sauce', 'Lemon']","['Tea', 'Ketchup']",Mexican,Summer,Good for Heart Health,25,8,"['B', 'A']"
Apple,"['Soy Sauce', 'Lemon', 'Rosemary']","['Ketchup', 'Banana']",Indian,Spring,Supports Digestion,15,2,"['E', 'C']"
Tomato,"['Olive Oil', 'Honey', 'Soy Sauce']","['Tea', 'Chocolate']",Italian,Summer,Supports Digestion,5,15,"['A', 'C']"
Mushroom,"['Lemon', 'Parmesan', 'Soy Sauce']","['Chocolate', 'Cucumber']",Mexican,Summer,Boosts Immunity,10,15,"['C', 'D']"
Pumpkin,"['Olive Oil', 'Soy Sauce', 'Thyme']","['Cucumber', 'Ketchup']",French,Summer,Boosts Immunity,10,12,"['D', 'E']"
Carrot,"['Lemon', 'Honey', 'Rosemary']","['Ketchup', 'Milk']",Thai,Spring,Supports Digestion,10,18,"['K', 'A']"
Brussels Sprouts,"['Honey', 'Garlic', 'Soy Sauce']","['Orange', 'Peanut Butter']",French,Winter,Rich in Antioxidants,15,2,"['C', 'D']"
Brussels Sprouts,"['Honey', 'Parmesan', 'Thyme']","['Chocolate', 'Cucumber']",Indian,Winter,Good for Heart Health,25,5,"['D', 'B']"
Salmon,"['Ginger', 'Soy Sauce', 'Parmesan']","['Chocolate', 'Coffee']",French,Winter,High in Protein,10,5,"['E', 'C']"
Brussels Sprouts,"['Lemon', 'Honey', 'Thyme']","['Milk', 'Coffee']",Mexican,Spring,High in Protein,30,8,"['E', 'A']"
Salmon,"['Soy Sauce', 'Rosemary', 'Garlic']","['Chocolate', 'Milk']",American,Fall,Rich in Antioxidants,30,5,"['D', 'C']"
Brussels Sprouts,"['Lemon', 'Honey', 'Ginger']","['Orange', 'Cucumber']",Mediterranean,Summer,High in Protein,30,18,"['E', 'A']"
Asparagus,"['Rosemary', 'Basil', 'Soy Sauce']","['Milk', 'Ketchup']",Mexican,Spring,High in Protein,20,2,"['C', 'A']"
Brussels Sprouts,"['Honey', 'Thyme', 'Soy Sauce']","['Peanut Butter', 'Vinegar']",Mexican,Fall,Rich in Antioxidants,10,12,"['C', 'D']"
Chicken,"['Garlic', 'Basil', 'Thyme']","['Tea', 'Ketchup']",Japanese,Winter,Good for Heart Health,10,2,"['K', 'C']"
Brussels Sprouts,"['Garlic', 'Lemon', 'Soy Sauce']","['Milk', 'Orange']",Italian,Winter,Good for Heart Health,30,2,"['B', 'C']"
Beef,"['Garlic', 'Rosemary', 'Lemon']","['Orange', 'Cucumber']",French,Spring,Supports Digestion,15,18,"['B', 'D']"
Tomato,"['Lemon', 'Thyme', 'Basil']","['Tea', 'Orange']",Italian,Spring,Supports Digestion,25,15,"['C', 'D']"
Beef,"['Lemon', 'Basil', 'Olive Oil']","['Banana', 'Peanut Butter']",Thai,Fall,Rich in Antioxidants,15,5,"['D', 'E']"
Salmon,"['Rosemary', 'Lemon', 'Soy Sauce']","['Vinegar', 'Cucumber']",Japanese,Fall,Rich in Antioxidants,30,2,"['A', 'C']"
Chicken,"['Lemon', 'Rosemary', 'Soy Sauce']","['Milk', 'Banana']",Mexican,Winter,Rich in Antioxidants,10,18,"['B', 'E']"
Pumpkin,"['Parmesan', 'Thyme', 'Olive Oil']","['Coffee', 'Orange']",French,Winter,High in Protein,10,2,"['D', 'C']"
Carrot,"['Rosemary', 'Garlic', 'Lemon']","['Banana', 'Ketchup']",Thai,Summer,Good for Heart Health,20,5,"['E', 'D']"
Apple,"['Soy Sauce', 'Parmesan', 'Basil']","['Peanut Butter', 'Tea']",Thai,Summer,High in Protein,10,15,"['K', 'C']"
Beef,"['Garlic', 'Basil', 'Honey']","['Milk', 'Ketchup']",French,Summer,Good for Heart Health,5,12,"['B', 'A']"
Salmon,"['Basil', 'Soy Sauce', 'Ginger']","['Tea', 'Ketchup']",Mediterranean,Summer,High in Protein,30,5,"['D', 'A']"
Mushroom,"['Basil', 'Olive Oil', 'Garlic']","['Cucumber', 'Vinegar']",American,Summer,Boosts Immunity,10,15,"['D', 'A']"
Carrot,"['Basil', 'Rosemary', 'Parmesan']","['Coffee', 'Cucumber']",Indian,Winter,Boosts Immunity,30,15,"['B', 'D']"
Brussels Sprouts,"['Soy Sauce', 'Olive Oil', 'Parmesan']","['Banana', 'Orange']",Chinese,Summer,High in Protein,20,12,"['D', 'B']"
Chicken,"['Rosemary', 'Honey', 'Ginger']","['Banana', 'Coffee']",Mediterranean,Spring,Boosts Immunity,5,12,"['C', 'D']"
Asparagus,"['Lemon', 'Rosemary', 'Ginger']","['Tea', 'Milk']",Indian,Summer,Rich in Antioxidants,25,8,"['K', 'B']"
Apple,"['Ginger', 'Olive Oil', 'Lemon']","['Coffee', 'Peanut Butter']",Mediterranean,Summer,High in Protein,15,2,"['D', 'K']"
Mushroom,"['Soy Sauce', 'Lemon', 'Ginger']","['Tea', 'Ketchup']",Thai,Fall,Boosts Immunity,20,8,"['D', 'E']"
Carrot,"['Garlic', 'Soy Sauce', 'Rosemary']","['Peanut Butter', 'Chocolate']",Chinese,Summer,Rich in Antioxidants,15,12,"['A', 'D']"
Brussels Sprouts,"['Olive Oil', 'Lemon', 'Parmesan']","['Chocolate', 'Ketchup']",French,Winter,High in Protein,25,8,"['C', 'D']"
Carrot,"['Basil', 'Thyme', 'Lemon']","['Vinegar', 'Milk']",Mexican,Spring,Boosts Immunity,5,15,"['B', 'K']"
Salmon,"['Basil', 'Honey', 'Thyme']","['Coffee', 'Tea']",Japanese,Spring,Supports Digestion,5,12,"['E', 'C']"
Beef,"['Honey', 'Soy Sauce', 'Basil']","['Milk', 'Cucumber']",Italian,Winter,Supports Digestion,20,18,"['E', 'K']"
Carrot,"['Olive Oil', 'Soy Sauce', 'Honey']","['Cucumber', 'Vinegar']",Chinese,Fall,Rich in Antioxidants,5,8,"['D', 'A']"
Salmon,"['Rosemary', 'Honey', 'Soy Sauce']","['Milk', 'Orange']",Mediterranean,Spring,Supports Digestion,10,18,"['A', 'B']"
Mushroom,"['Lemon', 'Thyme', 'Basil']","['Cucumber', 'Ketchup']",Mexican,Spring,Boosts Immunity,30,2,"['D', 'E']"
Beef,"['Olive Oil', 'Lemon', 'Basil']","['Ketchup', 'Orange']",Mediterranean,Fall,Good for Heart Health,15,12,"['A', 'K']"
Carrot,"['Rosemary', 'Lemon', 'Olive Oil']","['Banana', 'Orange']",Chinese,Spring,Good for Heart Health,15,5,"['E', 'B']"
Brussels Sprouts,"['Olive Oil', 'Rosemary', 'Basil']","['Chocolate', 'Ketchup']",Mexican,Summer,Good for Heart Health,5,8,"['D', 'C']"
Mushroom,"['Lemon', 'Ginger', 'Thyme']","['Cucumber', 'Peanut Butter']",Korean,Winter,Rich in Antioxidants,10,18,"['C', 'B']"
Carrot,"['Thyme', 'Olive Oil', 'Ginger']","['Coffee', 'Vinegar']",Italian,Summer,Supports Digestion,25,5,"['E', 'K']"
Mushroom,"['Parmesan', 'Lemon', 'Ginger']","['Ketchup', 'Vinegar']",Korean,Fall,Good for Heart Health,5,12,"['C', 'K']"
Mushroom,"['Olive Oil', 'Thyme', 'Lemon']","['Orange', 'Peanut Butter']",Mediterranean,Summer,Supports Digestion,25,5,"['E', 'A']"
Carrot,"['Olive Oil', 'Honey', 'Garlic']","['Chocolate', 'Banana']",Japanese,Summer,Supports Digestion,15,2,"['A', 'D']"
Beef,"['Ginger', 'Garlic', 'Rosemary']","['Orange', 'Coffee']",Mexican,Fall,Supports Digestion,25,5,"['C', 'A']"
Chicken,"['Parmesan', 'Basil', 'Garlic']","['Banana', 'Cucumber']",American,Summer,Rich in Antioxidants,5,2,"['C', 'E']"
Asparagus,"['Ginger', 'Garlic', 'Rosemary']","['Orange', 'Milk']",French,Winter,Rich in Antioxidants,25,18,"['E', 'K']"
Tomato,"['Garlic', 'Thyme', 'Parmesan']","['Cucumber', 'Tea']",Chinese,Summer,High in Protein,20,15,"['E', 'K']"
Asparagus,"['Rosemary', 'Honey', 'Basil']","['Coffee', 'Ketchup']",Italian,Spring,Rich in Antioxidants,5,2,"['A', 'B']"
Apple,"['Soy Sauce', 'Parmesan', 'Garlic']","['Orange', 'Cucumber']",American,Winter,High in Protein,5,8,"['K', 'E']"
Beef,"['Thyme', 'Ginger', 'Garlic']","['Ketchup', 'Vinegar']",Italian,Winter,Supports Digestion,5,8,"['C', 'E']"
Beef,"['Ginger', 'Garlic', 'Thyme']","['Peanut Butter', 'Banana']",Chinese,Winter,Rich in Antioxidants,30,12,"['B', 'K']"
Asparagus,"['Honey', 'Soy Sauce', 'Thyme']","['Banana', 'Coffee']",Chinese,Fall,High in Protein,10,5,"['E', 'C']"
Pumpkin,"['Garlic', 'Honey', 'Olive Oil']","['Banana', 'Orange']",Japanese,Winter,High in Protein,20,18,"['K', 'B']"
Brussels Sprouts,"['Rosemary', 'Parmesan', 'Lemon']","['Chocolate', 'Cucumber']",Mexican,Fall,Rich in Antioxidants,15,12,"['D', 'A']"
Pumpkin,"['Parmesan', 'Soy Sauce', 'Honey']","['Orange', 'Cucumber']",French,Fall,Supports Digestion,5,8,"['A', 'C']"
Beef,"['Soy Sauce', 'Thyme', 'Rosemary']","['Orange', 'Ketchup']",Mediterranean,Spring,High in Protein,20,2,"['K', 'D']"
Beef,"['Honey', 'Thyme', 'Olive Oil']","['Chocolate', 'Tea']",Korean,Winter,High in Protein,10,18,"['B', 'D']"
Beef,"['Lemon', 'Garlic', 'Soy Sauce']","['Tea', 'Chocolate']",Mexican,Summer,High in Protein,20,5,"['E', 'B']"
Pumpkin,"['Garlic', 'Basil', 'Parmesan']","['Vinegar', 'Orange']",Japanese,Winter,Good for Heart Health,15,8,"['A', 'B']"
Beef,"['Ginger', 'Garlic', 'Basil']","['Orange', 'Peanut Butter']",Mexican,Winter,Rich in Antioxidants,30,15,"['E', 'D']"
Pumpkin,"['Olive Oil', 'Soy Sauce', 'Parmesan']","['Coffee', 'Banana']",Thai,Fall,Rich in Antioxidants,20,15,"['B', 'E']"
Asparagus,"['Basil', 'Soy Sauce', 'Olive Oil']","['Banana', 'Peanut Butter']",Thai,Spring,Rich in Antioxidants,10,15,"['A', 'C']"
Carrot,"['Soy Sauce', 'Honey', 'Ginger']","['Ketchup', 'Peanut Butter']",Chinese,Fall,High in Protein,25,2,"['K', 'C']"
Salmon,"['Ginger', 'Lemon', 'Garlic']","['Chocolate', 'Orange']",Chinese,Summer,Supports Digestion,20,15,"['K', 'D']"
Brussels Sprouts,"['Ginger', 'Honey', 'Parmesan']","['Orange', 'Peanut Butter']",Mexican,Summer,High in Protein,25,5,"['D', 'C']"
Beef,"['Thyme', 'Rosemary', 'Honey']","['Coffee', 'Milk']",Japanese,Spring,Rich in Antioxidants,5,5,"['A', 'E']"
Pumpkin,"['Thyme', 'Lemon', 'Ginger']","['Coffee', 'Chocolate']",French,Summer,Supports Digestion,20,12,"['D', 'B']"
Carrot,"['Garlic', 'Basil', 'Ginger']","['Peanut Butter', 'Milk']",Chinese,Summer,Supports Digestion,20,15,"['K', 'B']"
Mushroom,"['Basil', 'Ginger', 'Lemon']","['Tea', 'Coffee']",Japanese,Summer,Boosts Immunity,15,2,"['B', 'D']"
Chicken,"['Basil', 'Ginger', 'Garlic']","['Chocolate', 'Tea']",American,Spring,Supports Digestion,15,18,"['K', 'E']"
Beef,"['Garlic', 'Ginger', 'Olive Oil']","['Cucumber', 'Orange']",American,Summer,Good for Heart Health,25,12,"['K', 'D']"
Apple,"['Rosemary', 'Parmesan', 'Honey']","['Vinegar', 'Cucumber']",Indian,Fall,Boosts Immunity,15,5,"['E', 'C']"
Asparagus,"['Thyme', 'Olive Oil', 'Rosemary']","['Ketchup', 'Milk']",American,Summer,Rich in Antioxidants,30,5,"['K', 'B']"
Pumpkin,"['Lemon', 'Ginger', 'Parmesan']","['Banana', 'Tea']",French,Spring,High in Protein,20,2,"['E', 'D']"
Tomato,"['Garlic', 'Thyme', 'Honey']","['Tea', 'Peanut Butter']",Mexican,Winter,Rich in Antioxidants,25,18,"['A', 'D']"
Mushroom,"['Basil', 'Parmesan', 'Garlic']","['Coffee', 'Cucumber']",Mexican,Fall,Good for Heart Health,5,12,"['B', 'D']"
Brussels Sprouts,"['Garlic', 'Soy Sauce', 'Basil']","['Vinegar', 'Banana']",Thai,Fall,High in Protein,10,18,"['C', 'D']"
Tomato,"['Lemon', 'Basil', 'Soy Sauce']","['Peanut Butter', 'Tea']",Chinese,Spring,Supports Digestion,20,2,"['E', 'A']"
Salmon,"['Garlic', 'Honey', 'Rosemary']","['Tea', 'Ketchup']",Indian,Fall,Boosts Immunity,5,12,"['C', 'D']"
Tomato,"['Parmesan', 'Garlic', 'Soy Sauce']","['Banana', 'Tea']",French,Spring,High in Protein,20,18,"['E', 'K']"
Carrot,"['Rosemary', 'Lemon', 'Garlic']","['Coffee', 'Banana']",American,Summer,High in Protein,20,2,"['C', 'K']"
Mushroom,"['Honey', 'Basil', 'Lemon']","['Ketchup', 'Chocolate']",Mexican,Spring,Good for Heart Health,30,8,"['K', 'A']"
Chicken,"['Parmesan', 'Ginger', 'Garlic']","['Coffee', 'Banana']",Korean,Winter,Good for Heart Health,15,5,"['K', 'D']"
Brussels Sprouts,"['Olive Oil', 'Basil', 'Rosemary']","['Orange', 'Coffee']",Japanese,Summer,High in Protein,15,12,"['A', 'K']"
Carrot,"['Parmesan', 'Garlic', 'Honey']","['Coffee', 'Banana']",Mexican,Fall,High in Protein,15,5,"['B', 'A']"
Beef,"['Ginger', 'Soy Sauce', 'Basil']","['Vinegar', 'Tea']",American,Winter,High in Protein,20,18,"['K', 'C']"
Tomato,"['Rosemary', 'Soy Sauce', 'Honey']","['Chocolate', 'Orange']",Italian,Spring,Supports Digestion,20,12,"['C', 'A']"
